Width,Height
1920,869
1292,361,1736277612583
1298,360,1736277612590
1311,359,1736277612597
1323,359,1736277612605
1352,362,1736277612612
1374,368,1736277612619
1384,372,1736277612626
1399,379,1736277612633
1410,385,1736277612640
1411,388,1736277612653
1411,389,1736277612661
1411,391,1736277612667
1407,399,1736277612674
1399,405,1736277612681
1394,409,1736277612688
1384,413,1736277612696
1379,415,1736277612708
1371,416,1736277612716
1355,416,1736277612723
1346,414,1736277612729
1339,413,1736277612736
1335,410,1736277612743
1333,406,1736277612750
1332,400,1736277612757
1332,394,1736277612768
1334,385,1736277612776
1340,378,1736277612783
1349,370,1736277612790
1359,364,1736277612797
1369,362,1736277612804
1378,361,1736277612812
1390,362,1736277612823
1396,365,1736277612831
1398,367,1736277612838
1398,369,1736277612845
1397,372,1736277612852
1391,378,1736277612871
1383,382,1736277612888
1377,383,1736277612897
1372,383,1736277612904
1369,383,1736277612911
1367,383,1736277612917
1367,384,1736277612951
1367,386,1736277612962
1366,389,1736277612971
1363,396,1736277612977
1360,403,1736277612985
1352,417,1736277612992
1349,425,1736277613005
1341,438,1736277613014
1332,451,1736277613020
1325,461,1736277613027
1316,473,1736277613035
1309,481,1736277613043
1300,489,1736277613050
1281,500,1736277613058
1269,504,1736277613072
1262,505,1736277613080
1243,505,1736277613087
1231,505,1736277613094
1220,504,1736277613101
1213,500,1736277613108
1208,496,1736277613120
1202,492,1736277613128
1193,488,1736277613135
1184,483,1736277613143
1176,479,1736277613149
1169,476,1736277613157
1165,472,1736277613164
1162,469,1736277613175
1158,466,1736277613182
1155,464,1736277613193
1153,462,1736277613201
1150,461,1736277613207
1149,461,1736277613214
1150,463,1736277613246
1152,467,1736277613255
1156,472,1736277613264
1165,481,1736277613270
1171,488,1736277613284
1175,494,1736277613291
1180,499,1736277613297
1185,503,1736277613303
1197,510,1736277613311
1210,519,1736277613319
1220,526,1736277613327
1227,530,1736277613335
1232,535,1736277613343
1240,548,1736277613351
1248,568,1736277613359
1254,585,1736277613367
1257,597,1736277613376
1259,604,1736277613387
1260,612,1736277613394
1260,617,1736277613405
1260,619,1736277613412
1257,621,1736277613419
1254,622,1736277613426
1250,623,1736277613435
1240,624,1736277613442
1232,626,1736277613453
1228,626,1736277613461
1226,626,1736277613471
1225,625,1736277613479
1225,624,1736277613490
1227,621,1736277613497
1231,617,1736277613504
1236,612,1736277613511
1242,608,1736277613518
1248,604,1736277613526
1256,602,1736277613538
1266,600,1736277613546
1277,599,1736277613553
1294,595,1736277613560
