Width,Height
1920,869
1558,560,1736277225641
1534,543,1736277225688
1460,497,1736277225729
1368,452,1736277225770
1184,428,1736277225811
912,422,1736277225854
608,440,1736277225896
414,454,1736277225938
430,458,1736277225980
573,484,1736277226022
623,486,1736277226065
822,452,1736277226108
1178,400,1736277226149
1616,380,1736277226191
1783,367,1736277226232
1766,378,1736277226273
1581,397,1736277226315
1397,365,1736277226356
1223,199,1736277226398
1133,43,1736277226440
1109,3,1736277226482
1111,5,1736277226718
1119,162,1736277226767
1130,222,1736277226808
1129,227,1736277226850
1129,228,1736277226893
1120,229,1736277226936
1000,219,1736277226978
842,231,1736277227020
584,261,1736277227062
354,265,1736277227104
318,267,1736277227146
319,267,1736277227272
319,267,1736277227336
328,260,1736277227381
462,219,1736277227423
826,245,1736277227466
971,298,1736277227507
993,331,1736277227548
945,357,1736277227589
824,385,1736277227630
690,413,1736277227672
582,413,1736277227714
462,413,1736277227756
429,413,1736277227799
428,413,1736277227841
428,413,1736277227883
430,413,1736277227924
434,412,1736277227965
439,414,1736277228007
481,431,1736277228049
471,453,1736277228092
246,539,1736277228134
12,595,1736277228175
0,613,1736277228216
0,603,1736277228257
0,602,1736277228297
46,601,1736277228338
244,601,1736277228379
536,603,1736277228420
824,643,1736277228462
917,645,1736277228504
976,610,1736277228545
1104,560,1736277228586
1206,546,1736277228627
1316,533,1736277228668
1320,532,1736277228710
1322,532,1736277228752
1323,532,1736277228793
1316,538,1736277228835
1199,579,1736277228878
915,571,1736277228923
625,571,1736277228970
488,575,1736277229016
484,575,1736277229058
483,575,1736277229099
463,574,1736277229140
441,575,1736277229181
392,598,1736277229223
346,610,1736277229284
338,629,1736277229326
325,647,1736277229368
298,684,1736277229409
286,723,1736277229450
291,743,1736277229491
294,750,1736277229532
299,746,1736277229573
299,738,1736277229614
298,734,1736277229654
280,741,1736277229696
234,762,1736277229737
173,780,1736277229778
146,784,1736277229819
140,786,1736277229860
133,789,1736277229901
115,797,1736277229941
96,810,1736277229982
77,825,1736277230022
66,832,1736277230063
64,835,1736277230105
64,837,1736277230147
60,843,1736277230189
